catch_index,sentence_position,sentence,sentence_first,sentence_second,catch_type,response,response_label,correct_response,correct,rt
0,7,"Il est 3 heures du matin et Selma marche vers chez elle. Soudain, elle entend une femme crier et une voiture arriver en trombe. Selma a à peine le temps de comprendre ce qu'il arrive que la voiture la percute. Elle décède sur le coup.","Il est 3 heures du matin et Selma marche vers chez elle. Soudain, elle entend une femme crier et une voiture arriver en trombe.",Selma a à peine le temps de comprendre ce qu'il arrive que la voiture la percute. Elle décède sur le coup.,seen,arrowup,Oui,Oui,true,6431
1,19,"Bob regarde une finale de Coupe du monde, son équipe préférée a des chances de gagner ! Bob ne quitte pas l'écran des yeux, jusqu'au moment où son équipe devient enfin championne du monde !","Bob regarde une finale de Coupe du monde, son équipe préférée a des chances de gagner !","Bob ne quitte pas l'écran des yeux, jusqu'au moment où son équipe devient enfin championne du monde !",unseen,arrowdown,Non,Non,true,6128
2,31,Olivia fait un tour touristique lorsque quelque chose de mouillé tombe sur sa tête. Elle touche ses cheveux et comprend qu'un pigeon lui a déféqué dessus.,Olivia fait un tour touristique lorsque quelque chose de mouillé tombe sur sa tête.,Elle touche ses cheveux et comprend qu'un pigeon lui a déféqué dessus.,seen,arrowup,Oui,Oui,true,4176
3,40,Lena fait son jogging dans un parc. Elle croise beaucoup de gens qui font des pique-niques.,Lena fait son jogging dans un parc.,Elle croise beaucoup de gens qui font des pique-niques.,seen,arrowup,Oui,Oui,true,6528
4,47,"Nathan a joué à la loterie avec les mêmes numéros qu'il utilise à chaque fois. Cette semaine, il pourrait gagner 3 000 000 d'euros. Nathan regarde ses numéros par rapport aux numéros gagnants... et c'est le jackpot !!! Il a tous les numéros gagnants, il est maintenant millionnaire !","Nathan a joué à la loterie avec les mêmes numéros qu'il utilise à chaque fois. Cette semaine, il pourrait gagner 3 000 000 d'euros.","Nathan regarde ses numéros par rapport aux numéros gagnants... et c'est le jackpot !!! Il a tous les numéros gagnants, il est maintenant millionnaire !",unseen,arrowdown,Non,Non,true,6223
5,58,"Il est 16h30. Vite ! Il ne lui reste plus que 10 minutes pour le rejoindre. Lorsque le train arrive, il monte dedans.",Il est 16h30. Vite ! Il ne lui reste plus que 10 minutes pour le rejoindre.,"Lorsque le train arrive, il monte dedans.",seen,arrowup,Oui,Oui,true,4687
6,70,"Cam attend son bus en espérant qu'il ne sera pas trop plein. Le bus qui arrive est hors service, Cam continue à attendre.",Cam attend son bus en espérant qu'il ne sera pas trop plein.,"Le bus qui arrive est hors service, Cam continue à attendre.",unseen,arrowdown,Non,Non,true,3568
7,78,Sam est sur Tinder. Il croise des profils différents et décide s'il souhaite les 'matcher'.,Sam est sur Tinder.,Il croise des profils différents et décide s'il souhaite les 'matcher'.,seen,arrowup,Oui,Oui,true,3984
8,88,Mady fait la fête au centre-ville. Elle voit beaucoup de personnes qui consomment de l'alcool.,Mady fait la fête au centre-ville.,Elle voit beaucoup de personnes qui consomment de l'alcool.,unseen,arrowdown,Non,Non,true,4080
