catch_index,sentence_position,sentence,sentence_first,sentence_second,catch_type,response,response_label,correct_response,correct,rt
0,7,"Magnus doit rejoindre son ami pour prendre un café, il décide de regarder l'heure sur son portable. Magnus sort son téléphone mais sa batterie est à plat.","Magnus doit rejoindre son ami pour prendre un café, il décide de regarder l'heure sur son portable.",Magnus sort son téléphone mais sa batterie est à plat.,seen,arrowdown,Non,Oui,false,11455
1,16,Sam rentre à la maison. Il enlève sa veste.,Tyler adore les sneakers.,Il décide d'en acheter une nouvelle paire.,seen,arrowup,Oui,Oui,true,4832
2,26,"Mario est avec un ami lorsqu'ils croisent une fille avec qui ils sont sortis en soirée, mais il ne se rappelle plus son prénom. L'ami de Mario lui glisse discrètement à l'oreille qu'elle s'appelle Diana.","Nathan a joué à la loterie avec les mêmes numéros qu'il utilise à chaque fois. Cette semaine, il pourrait gagner 3 000 000 d'euros.","Nathan regarde ses numéros par rapport aux numéros gagnants... et c'est le jackpot !!! Il a tous les numéros gagnants, il est maintenant millionnaire !",seen,arrowup,Oui,Oui,true,18672
3,39,"Il est 3 heures du matin et Selma marche vers chez elle. Soudain, elle entend une femme crier et une voiture arriver en trombe. Selma a à peine le temps de comprendre ce qu'il arrive que la voiture la percute. Elle décède sur le coup.","Comme tous les matins, Ana sort son chien.",Le soleil réchauffe sa peau.,unseen,arrowdown,Non,Non,true,15328
4,47,"Robbie se dirige vers le rencard que son meilleur ami lui a arrangé. Selon ce dernier, la fille qu'il va lui présenter est magnifique. En allant au rendez-vous, Robbie est très anxieux et il transpire beaucoup comme à son habitude.",Kim veut partir en voyage mais elle ne sait pas encore où aller. Elle commence à regarder des destinations sur Google.,Elle voit qu'il y a des vols pas chers pour Venise ce week-end et elle en réserve un immédiatement.,seen,arrowup,Oui,Oui,true,13024
5,57,Sara marche vers chez elle au milieu de la nuit. Des voitures passent le long de la rue.,"Matéo est en retard pour aller au travail lorsque son téléphone sonne. Ça alors ! On l'appelle toujours au mauvais moment ! Il décroche, nerveux, et une voix froide lui dit qu'un de ses proches a été admis en réanimation à l'hôpital.",La voix dit à Matéo que son frère vient d'avoir un grave accident de voiture.,unseen,arrowdown,Non,Non,true,8688
6,66,Julie reçoit un appel de l'hôpital pour lui rappeler qu'elle a un rendez-vous avec son dentiste. Julie remercie le réceptionniste pour ce rappel.,Maja marche avec un ami lorsqu'il sort un cadeau de son sac.,Elle déballe le cadeau et voit qu'il s'agit du magnifique pull qu'elle voulait depuis des mois.,unseen,arrowdown,Non,Non,true,9200
7,79,"Mira rentre chez elle en pleine nuit, vers 3 heures du matin, lorsqu'elle entend une moto arriver rapidement dans son dos et des cris stridents. Elle se retourne pour regarder ce qu'il se passe.",La maman d'Ethan lui envoie un message en disant qu'elle va lui préparer un bon repas.,"Curieux, Ethan essaye de l'appeler pour en savoir plus mais son téléphone s'éteint.",unseen,arrowdown,Non,Non,true,11680
8,91,"En sortant de l'école, Justine réalise qu'elle a oublié son téléphone en classe. Elle décide de retourner à l'école pour le récupérer.","Bob regarde une finale de Coupe du monde, son équipe préférée a des chances de gagner !","Bob ne quitte pas l'écran des yeux, jusqu'au moment où son équipe devient enfin championne du monde !",unseen,arrowdown,Non,Non,true,9371
