catch_index,sentence_position,sentence,sentence_first,sentence_second,catch_type,response,response_label,correct_response,correct,rt
0,12,Paul doit rejoindre un ami pour prendre un café. Il monte dans le bus pour se rendre au lieu de rendez-vous.,Theo prend l'avion pour partir en vacances.,Il a préparé une grande valise avec tous ses habits préférés.,unseen,arrowup,Oui,Non,false,13712
1,25,"Irene aimerait voyager, mais ne sachant pas où aller, elle décide de demander conseil à une agence de voyages. L'agent lui dit qu'il y a des promotions intéressantes pour Malaga, Barcelone et Rome.",Il est 4 heures du matin et Mike s'apprête à aller dormir lorsque soudain il entend un homme crier 'Adieu monde cruel' suivi d'un bruit sourd.,"Le souffle coupé, il se lève pour se rapprocher de sa fenêtre. Il a à peine le temps de se frotter les paupières qu'il voit son voisin étendu à terre, inerte.",unseen,arrowdown,Non,Non,true,10384
2,34,"Mario est avec un ami lorsqu'ils croisent une fille avec qui ils sont sortis en soirée, mais il ne se rappelle plus son prénom. L'ami de Mario lui glisse discrètement à l'oreille qu'elle s'appelle Diana.",Erik vient d'acheter des sneakers super rares et il a hâte de voir la tête de ses amis quand il leur dira ce soir.,Les amis d'Erik adorent sa nouvelle paire et le complimentent sur son goût.,seen,arrowup,Oui,Oui,true,8256
3,47,"Megan est en train de bronzer sur son bateau lorsqu'elle entrevoit une tempête se former à quelques nœuds. Il commence à pleuvoir et elle essaye de s'abriter. Des vagues de plusieurs mètres s'abattent sur le mât du bateau, Megan perd l'équilibre et tombe dans l'eau. Elle se bat contre les vagues pendant plusieurs minutes mais, exténuée, elle se noie.",Léonard a envie de manger un bon plat ce soir.,Il va à son restaurant préféré.,seen,arrowdown,Non,Oui,false,16911
4,60,Elena fait du tourisme lorsqu'elle sent quelque chose de chaud tomber sur son épaule. Elle regarde son épaule mais il n'y a rien dessus.,Erin voyage en avion.,Elle a bouclé sa ceinture.,unseen,arrowdown,Non,Non,true,8064
5,68,"Lorenzo est à son restaurant favori, il adore y aller car son ami Aaron est le chef. Lorenzo a hâte de goûter ce qu'Aaron va lui préparer vu que chaque fois qu'il mange chez lui, il découvre de nouvelles saveurs. L'attente est plus longue que d'habitude, Lorenzo a très faim.",Lucille ne trouve pas son portable.,Elle regarde partout dans la maison mais il n'y a pas de trace de son téléphone.,seen,arrowdown,Non,Oui,false,12768
6,76,"En sortant de l'école, Justine réalise qu'elle a oublié son téléphone en classe. Elle décide de retourner à l'école pour le récupérer.",Simon est avec un ami lorsqu'il croise une fille avec qui ils ont fait la fête toute la nuit il y a quelques semaines.,Ils discutent de tout et de rien.,unseen,arrowdown,Non,Non,true,6319
7,84,Maja marche avec un ami lorsqu'il sort un cadeau de son sac. Elle déballe le cadeau et voit qu'il s'agit du magnifique pull qu'elle voulait depuis des mois.,Maja marche avec un ami lorsqu'il sort un cadeau de son sac.,Elle déballe le cadeau et voit qu'il s'agit du magnifique pull qu'elle voulait depuis des mois.,seen,arrowup,Oui,Oui,true,6943
8,92,"Mira rentre chez elle en pleine nuit, vers 3 heures du matin, lorsqu'elle entend une moto arriver rapidement dans son dos et des cris stridents. Elle se retourne pour regarder ce qu'il se passe.",Mona dort paisiblement dans son lit.,Elle rêve que son chien court dans le jardin.,unseen,arrowdown,Non,Non,true,7824
